City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Fare,PF,77.56,overcast clouds,-16.7,-151.0167,
3,Veraval,IN,83.39,overcast clouds,20.9,70.3667,
8,Pocone,BR,77.47,few clouds,-16.2567,-56.6228,
11,Pokhara,NP,80.28,overcast clouds,28.2333,83.9833,
13,Atuona,PF,77.04,scattered clouds,-9.8,-139.0333,
19,Qandala,SO,88.45,clear sky,11.472,49.8728,
20,Vostok,RU,80.19,overcast clouds,46.4856,135.8833,
24,Urucui,BR,77.58,clear sky,-7.2294,-44.5561,
32,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,
33,Hilo,US,82.27,scattered clouds,19.7297,-155.09,
37,Georgetown,MY,85.95,few clouds,5.4112,100.3354,
38,Palimbang,PH,82.11,moderate rain,6.2106,124.1894,
39,Bubaque,GW,76.46,moderate rain,11.2833,-15.8333,
42,Coahuayana,MX,75.31,overcast clouds,18.7333,-103.6833,
46,Porto Novo,BJ,75.02,clear sky,6.4965,2.6036,
53,Saint-Georges,GD,79.56,clear sky,12.0564,-61.7485,
61,Albany,US,77.59,few clouds,42.6001,-73.9662,
69,Pointe Michel,DM,80.71,overcast clouds,15.25,-61.3833,
74,Sabha,LY,80.33,clear sky,27.0377,14.4283,
75,Avarua,CK,75.25,few clouds,-21.2078,-159.775,
87,Butaritari,KI,81.61,light rain,3.0707,172.7902,
90,Sao Filipe,CV,78.24,light rain,14.8961,-24.4956,
95,Kahului,US,86.02,few clouds,20.8947,-156.47,
96,Aurangabad,IN,78.89,haze,19.8833,75.3333,
104,Changli,CN,87.04,overcast clouds,39.7042,119.1506,
105,Kampot,KH,84.25,light rain,10.6167,104.1833,
107,Vaini,TO,78.96,few clouds,-21.2,-175.2,
108,Brownsville,US,84.15,few clouds,25.9018,-97.4975,
111,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,
114,Shenjiamen,CN,84.9,clear sky,29.9576,122.298,
115,Selma,US,87.85,clear sky,36.5708,-119.6121,
116,Sur,OM,88.56,scattered clouds,22.5667,59.5289,
118,Miracema Do Tocantins,BR,80.01,broken clouds,-9.5618,-48.3967,
121,Hithadhoo,MV,82.58,overcast clouds,-0.6,73.0833,
122,Bethel,US,79.16,clear sky,41.3712,-73.414,
123,Gat,IL,79.48,clear sky,31.61,34.7642,
129,Kapaa,US,80.92,broken clouds,22.0752,-159.319,
130,Deogarh,IN,83.59,overcast clouds,21.5333,84.7333,
131,Qiongshan,CN,87.78,broken clouds,20.0058,110.3542,
132,Aripuana,BR,75.0,broken clouds,-9.1667,-60.6333,
136,Bilma,NE,89.91,overcast clouds,18.6853,12.9164,
141,Khawhai,IN,77.29,moderate rain,23.3667,93.1167,
142,Takayama,JP,83.44,broken clouds,36.1333,137.25,
144,Katsuura,JP,83.39,scattered clouds,35.1333,140.3,
147,Nantucket,US,78.91,mist,41.2835,-70.0995,
149,Poya,NC,76.86,broken clouds,-21.35,165.15,
151,Bajil,YE,85.26,overcast clouds,15.0584,43.2851,
152,Hasaki,JP,84.6,scattered clouds,35.7333,140.8333,
153,Morehead,US,77.79,clear sky,37.2711,-87.1764,
156,Westport,US,81.86,broken clouds,41.1415,-73.3579,
157,Kavieng,PG,83.43,light rain,-2.5744,150.7967,
160,Shingu,JP,84.97,overcast clouds,33.7333,135.9833,
162,Sarmanovo,RU,75.88,scattered clouds,55.2553,52.5891,
163,Kirakira,SB,84.69,broken clouds,-10.4544,161.9205,
164,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,
166,Ozinki,RU,77.02,broken clouds,51.1786,49.6769,
168,Pyapon,MM,80.74,overcast clouds,16.2833,95.6833,
172,Vaitape,PF,77.83,overcast clouds,-16.5167,-151.75,
173,Puerto Escondido,MX,80.01,overcast clouds,15.85,-97.0667,
182,Chau Doc,VN,80.89,overcast clouds,10.7,105.1167,
183,Mareeba,AU,81.45,broken clouds,-17.0,145.4333,
187,Nichinan,JP,89.28,broken clouds,31.6,131.3667,
191,Stephenville,US,87.24,scattered clouds,32.2207,-98.2023,
193,Palmas Bellas,PA,77.34,overcast clouds,9.2319,-80.0867,
196,Bonthe,SL,75.94,overcast clouds,7.5264,-12.505,
198,Locri,IT,75.33,clear sky,38.2414,16.2623,
202,Cockburn Town,TC,81.88,clear sky,21.4612,-71.1419,
205,Biak,ID,81.14,overcast clouds,-0.9131,122.8766,
206,Baneh,IR,83.77,clear sky,35.9975,45.8853,
207,Isangel,VU,81.32,clear sky,-19.55,169.2667,
208,Zumarraga,PH,77.41,overcast clouds,11.6388,124.8417,
209,Cabo San Lucas,MX,84.51,broken clouds,22.8909,-109.9124,
212,Kavaratti,IN,80.37,overcast clouds,10.5669,72.642,
214,Kulhudhuffushi,MV,80.87,broken clouds,6.6221,73.07,
216,Itarema,BR,76.44,clear sky,-2.9248,-39.9167,
