City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Felanitx,ES,77.13,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
219,Ugoofaaru,MV,81.03,overcast clouds,5.6667,73.0,Ungoofaaru Inn
221,Tarrafal,CV,79.59,overcast clouds,15.2833,-23.7667,Hotel Ixola
226,Rethimnon,GR,80.2,clear sky,35.3647,24.4714,Poseidon
244,Wewak,PG,83.93,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
248,Gigmoto,PH,77.76,moderate rain,13.7796,124.39,Cj's Travellers Inn
255,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
257,Cam Ranh,VN,84.16,light rain,11.9214,109.1591,OYO 598 Peony Hotel
258,Kudahuvadhoo,MV,82.47,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
260,Bambanglipuro,ID,80.11,overcast clouds,-7.95,110.2833,Puri Brata
261,Muroto,JP,85.08,broken clouds,33.2833,134.15,Oota Ryokan
263,Zharkent,KZ,87.64,clear sky,44.1628,80.0,гостиница Satti
264,Cabatuan,PH,75.18,overcast clouds,10.8794,122.486,MVC Transient Room
269,Tuy Hoa,VN,81.63,moderate rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
274,Bengkulu,ID,83.59,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
275,Sinnamary,GF,77.22,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
277,Mujiayingzi,CN,89.44,scattered clouds,42.1167,118.7833,Jinjiang Hotel
278,Pemangkat,ID,86.68,scattered clouds,1.1667,108.9667,Hotel Duyung Permai 2
279,Vao,NC,75.11,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
283,San Patricio,US,84.88,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
285,Umm Lajj,SA,89.22,scattered clouds,25.0213,37.2685,Moon light Furnished Units
287,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
289,Japura,ID,86.79,broken clouds,-0.3167,102.35,Rumah mbah Jamah
297,Sri Aman,MY,87.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
